id,area,room_type,accommodates,bathrooms,beds,min_nights,num_reviews,rating,price
736306604387468764,East Village,Entire home/apt,1,1.0,1.0,100,0,,160.0
738978341195723100,Lower East Side,Entire home/apt,5,1.0,4.0,3,3,4.67,230.0
737373064682765825,Chinatown,Entire home/apt,6,1.0,3.0,3,3,4.33,430.0
737468865020538726,Upper East Side,Entire home/apt,4,2.0,2.0,30,0,,755.0
737591267094992614,Harlem,Private room,2,1.0,1.0,1,5,4.6,89.0
739185878998364825,Kips Bay,Entire home/apt,6,2.0,3.0,30,0,,320.0
737615866659603215,Midtown,Private room,12,3.0,6.0,1,0,,1002.0
737616938369086269,Midtown,Private room,16,4.0,8.0,1,0,,1274.0
739226012536224685,Harlem,Private room,2,1.0,1.0,30,0,,80.0
739264276329342195,West Village,Entire home/apt,2,1.0,1.0,7,1,5.0,300.0
737877918821333784,Harlem,Private room,2,1.0,1.0,1,11,4.91,80.0
739307924391269845,Theater District,Entire home/apt,3,1.5,1.0,3,9,4.89,101.0
740542842843935076,Harlem,Private room,2,1.0,1.0,2,5,4.0,71.0
740555423293009882,Midtown,Entire home/apt,2,1.0,1.0,2,0,,292.0
739428496323797916,Midtown,Private room,1,0.5,1.0,1,0,,125.0
740581159062231033,East Village,Entire home/apt,4,2.0,2.0,30,0,,1200.0
740606284690310306,Upper East Side,Entire home/apt,6,1.0,3.0,30,1,4.0,280.0
739670023874151238,Upper East Side,Entire home/apt,2,1.0,1.0,10,0,,125.0
739676464379063672,Upper East Side,Entire home/apt,2,1.0,1.0,1,25,5.0,137.0
738352730293830800,Upper West Side,Entire home/apt,7,1.0,4.0,5,9,4.67,189.0
738395609693601752,Lower East Side,Entire home/apt,2,1.0,1.0,1,11,4.55,175.0
741904760414691668,Chelsea,Entire home/apt,3,1.0,1.0,5,4,5.0,278.0
741913988116370250,Midtown,Private room,2,1.0,1.0,1,0,,825.0
741927514437217364,Upper East Side,Entire home/apt,2,1.0,1.0,30,1,5.0,131.0
741942396332722851,Harlem,Private room,2,1.0,1.0,5,3,4.0,55.0
741951889226170199,Upper East Side,Entire home/apt,4,1.0,1.0,30,1,5.0,156.0
741962066446182403,Upper East Side,Entire home/apt,3,1.0,1.0,30,0,,110.0
741962324502200158,Upper East Side,Entire home/apt,3,1.0,1.0,30,0,,128.0
741979038032754388,Theater District,Entire home/apt,5,1.0,2.0,30,0,,200.0
741982585551556454,Chelsea,Entire home/apt,2,2.0,1.0,5,0,,400.0
740827108103692977,Midtown,Entire home/apt,2,1.0,1.0,3,5,4.8,268.0
740833137396455016,Midtown,Entire home/apt,4,1.0,1.0,1,0,,4000.0
739684305631676130,Chelsea,Private room,1,1.0,1.0,4,2,5.0,200.0
740864795858867832,Gramercy,Entire home/apt,4,1.0,1.0,2,6,5.0,195.0
741003173650333082,Harlem,Entire home/apt,4,1.0,2.0,31,0,,77.0
739746809178909880,Midtown,Entire home/apt,2,1.0,1.0,2,0,,330.0
741012656903400090,Harlem,Entire home/apt,4,1.0,2.0,31,0,,68.0
739749116589794689,Midtown,Entire home/apt,2,1.0,1.0,2,1,1.0,303.0
742045802476249271,Harlem,Entire home/apt,3,1.0,1.0,2,12,4.83,81.0
739758265100844130,Upper East Side,Entire home/apt,6,1.0,3.0,30,0,,280.0
741012797457718407,Harlem,Entire home/apt,3,1.0,2.0,31,0,,64.0
742165339893739683,Upper West Side,Private room,2,1.0,1.0,1,0,,2100.0
739817441947520729,Financial District,Entire home/apt,6,1.0,5.0,5,4,4.5,255.0
739825179394275875,Harlem,Private room,2,1.0,1.0,7,7,5.0,65.0
739908207706451311,Harlem,Entire home/apt,16,5.0,11.0,3,11,4.91,599.0
739933686932667572,Hell's Kitchen,Entire home/apt,5,2.0,3.0,30,0,,200.0
740170177190508895,Upper West Side,Entire home/apt,2,1.0,2.0,3,6,4.83,135.0
740392170589412889,Chinatown,Entire home/apt,2,1.0,2.0,1,30,4.87,201.0
740414959590827579,Upper East Side,Entire home/apt,3,1.0,1.0,30,1,5.0,110.0
740430164115683052,Upper East Side,Entire home/apt,6,1.0,3.0,30,0,,280.0
740435664013748633,Hell's Kitchen,Entire home/apt,6,2.0,3.0,5,10,5.0,536.0
740446516694389016,Upper East Side,Entire home/apt,6,1.0,3.0,30,0,,280.0
740482688468999472,Upper East Side,Entire home/apt,3,1.0,1.0,30,0,,110.0
743758090910373803,Midtown,Entire home/apt,6,2.0,3.0,5,3,5.0,653.0
744126808082795797,East Harlem,Entire home/apt,3,1.0,2.0,1,1,5.0,212.0
744145095637215345,Murray Hill,Private room,3,1.0,1.0,3,1,5.0,150.0
744156456124790864,Harlem,Private room,1,1.0,1.0,5,3,4.67,99.0
744159480269945189,Washington Heights,Entire home/apt,4,1.0,2.0,2,11,4.64,123.0
744196713345442908,Chelsea,Entire home/apt,2,1.0,1.0,30,0,,300.0
742224718214908605,Upper West Side,Entire home/apt,3,1.0,1.0,10,0,,298.0
742232031742777766,Washington Heights,Private room,1,1.0,1.0,3,7,4.71,38.0
742246741289035376,Washington Heights,Private room,1,1.0,1.0,3,7,4.57,36.0
742299317274510543,Financial District,Entire home/apt,2,1.0,1.0,1,3,5.0,210.0
742579079773788872,West Village,Entire home/apt,2,1.0,1.0,31,0,,318.0
742593131536057081,Financial District,Entire home/apt,4,2.0,3.0,30,0,,500.0
742683030026909964,Upper East Side,Entire home/apt,2,1.0,1.0,13,3,4.67,155.0
742687873762810307,West Village,Entire home/apt,2,1.0,1.0,30,0,,197.0
742701053336646146,SoHo,Entire home/apt,15,1.5,1.0,90,0,,500.0
742740627786125986,Upper East Side,Private room,2,1.5,1.0,1,1,5.0,150.0
742763185612293541,Kips Bay,Entire home/apt,5,1.0,2.0,1,3,5.0,284.0
742855070600057203,Midtown,Entire home/apt,2,1.0,1.0,3,0,,798.0
741012928599887721,Harlem,Entire home/apt,2,1.0,1.0,31,0,,88.0
741013219361495748,Harlem,Entire home/apt,5,2.0,3.0,31,1,1.0,86.0
744233285959436628,Upper West Side,Entire home/apt,3,1.0,1.0,30,1,5.0,160.0
743058895476385254,East Village,Entire home/apt,3,1.0,1.0,2,9,4.89,398.0
743302658406163944,Hell's Kitchen,Entire home/apt,2,1.0,1.0,7,0,,170.0
744262493550796218,Upper West Side,Entire home/apt,3,1.0,1.0,30,0,,90.0
744278325880141330,East Harlem,Entire home/apt,5,1.0,5.0,2,5,4.6,246.0
743369002172968530,Financial District,Entire home/apt,4,1.0,1.0,1,3,4.0,275.0
743425672330246893,Greenwich Village,Entire home/apt,3,1.0,1.0,3,0,,1299.0
743499407603190481,Lower East Side,Private room,1,1.0,1.0,30,0,,47.0
741013283096688718,Harlem,Entire home/apt,4,1.0,2.0,31,0,,65.0
741127542185943933,Upper West Side,Shared room,1,1.0,1.0,2,10,4.1,40.0
741129902748718697,Midtown,Private room,3,1.0,2.0,1,6,3.5,46.0
741149714552732715,Hell's Kitchen,Entire home/apt,3,1.0,2.0,1,9,5.0,260.0
741159021946149310,Hell's Kitchen,Entire home/apt,2,1.0,1.0,2,0,,132.0
744286995858510161,Hell's Kitchen,Entire home/apt,6,2.0,3.0,3,3,4.33,700.0
741173068965081795,Murray Hill,Entire home/apt,2,1.0,1.0,1,0,,86.0
741191681643056506,Washington Heights,Entire home/apt,3,1.0,1.0,1,6,5.0,132.0
741224200594669992,Upper East Side,Entire home/apt,4,2.0,1.0,30,0,,148.0
741233574532770828,Murray Hill,Entire home/apt,4,2.0,2.0,20,0,,488.0
741235117125135186,Upper East Side,Entire home/apt,3,1.0,1.0,30,0,,115.0
741243111598984805,Upper East Side,Entire home/apt,2,1.0,1.0,30,1,5.0,118.0
741285934117289120,East Village,Entire home/apt,4,1.0,1.0,1,6,5.0,424.0
741287817783270966,Washington Heights,Private room,2,1.0,1.0,3,8,4.88,49.0
741303341940453824,Financial District,Entire home/apt,2,1.0,1.0,30,0,,200.0
741304743431862990,Washington Heights,Private room,1,1.0,1.0,3,7,4.71,46.0
744362529094004795,Harlem,Private room,2,1.0,1.0,2,5,5.0,69.0
741306094759046924,Chelsea,Entire home/apt,2,1.0,1.0,30,0,,320.0
744387008923085817,Harlem,Private room,3,1.0,2.0,2,1,5.0,190.0
744442141129203382,Upper West Side,Private room,2,1.0,1.0,2,10,4.6,70.0
741362685776225137,Harlem,Entire home/apt,2,1.0,1.0,4,2,5.0,100.0
741377089012738867,Morningside Heights,Shared room,1,1.0,1.0,2,7,4.0,41.0
741381588612399872,East Village,Entire home/apt,2,1.0,1.0,1,7,4.86,391.0
744631989305946487,Midtown,Entire home/apt,2,1.0,1.0,2,0,,292.0
744677609538700889,Midtown,Entire home/apt,2,1.0,1.0,2,3,5.0,320.0
744677889074286147,Washington Heights,Private room,1,1.0,1.0,2,2,5.0,70.0
744678214448566165,Washington Heights,Private room,2,1.0,1.0,2,5,4.4,85.0
744733352328495344,Upper East Side,Entire home/apt,2,1.0,2.0,30,0,,127.0
744742239131124061,Midtown,Entire home/apt,2,1.0,1.0,30,0,,180.0
744749403071337881,East Harlem,Entire home/apt,4,2.0,3.0,30,0,,240.0
744763527827696347,Kips Bay,Entire home/apt,2,1.0,1.0,30,1,5.0,110.0
