host_id,host_name,latitude,longitude,accommodates,beds,minimum_nights,number_of_reviews,review_scores_rating,room_type,neighbourhood_cleansed,price
523365745,Solomane,40.65604,-73.7273,4,3,30,3,4.67,Entire home/apt,Rosedale,2500.00
370015531,Paul,40.7134,-74.00899,12,11,85,0,,Entire home/apt,Tribeca,2500.00
26556695,Justin And Alyssa,40.76183,-73.97341,6,2,1,10,5,Private room,Midtown,2499.00
26556695,Justin And Alyssa,40.76212,-73.97377,6,2,1,10,5,Private room,Midtown,2499.00
417172495,Omer,40.7237889,-74.0032322,6,4,30,2,5,Entire home/apt,SoHo,2414.00
25138314,RoomPicks By Antony,40.76334903,-73.98008528,12,3,30,0,,Private room,Midtown,2413.00
25138314,RoomPicks By Antony,40.7615867,-73.97915926,12,3,30,0,,Private room,Midtown,2413.00
25138314,RoomPicks By Antony,40.76157,-73.98084,12,3,30,0,,Private room,Theater District,2413.00
496932087,Reservations,40.71612658,-74.00966813,8,2,1,0,,Private room,Tribeca,2400.00
496932087,Reservations,40.71615168,-74.01017583,8,2,1,0,,Private room,Tribeca,2400.00
3416353,AVacations,40.66972,-73.97427,9,6,30,1,5,Entire home/apt,Park Slope,2400.00
496932087,Reservations,40.78333081,-73.9794592,12,6,1,0,,Private room,Upper West Side,2399.00
496932087,Reservations,40.78136174,-73.98146069,16,8,1,0,,Private room,Upper West Side,2399.00
45955499,Lauren Berger,40.7563483,-73.982205,8,4,1,0,,Entire home/apt,Midtown,2372.00
496944100,RoomPicks,40.71957185,-74.00092389,16,4,1,0,,Private room,SoHo,2369.00
496944100,RoomPicks,40.72085084,-74.00066556,16,4,1,0,,Private room,SoHo,2369.00
496944100,RoomPicks,40.71863656,-74.00121877,16,4,1,0,,Private room,Chinatown,2369.00
340938089,Citadines,40.75632,-73.98113,4,2,1,155,4.49,Private room,Midtown,2367.00
41870118,Iveta,40.71931,-73.83698,6,2,365,0,,Entire home/apt,Forest Hills,2350.00
501999278,RoomPicks,40.75863,-73.98244,12,8,1,0,,Hotel room,Theater District,2347.00
25138314,RoomPicks By Antony,40.76323,-73.98041,12,4,30,0,,Private room,Midtown,2337.00
25138314,RoomPicks By Antony,40.76346,-73.97861,12,4,30,0,,Private room,Midtown,2337.00
25138314,RoomPicks By Antony,40.7618,-73.97895,12,4,30,0,,Private room,Midtown,2337.00
19408645,Shaun,40.76809988,-73.98268278,4,2,1,1,5,Entire home/apt,Upper West Side,2250.00
819674,Andrew,40.72294,-73.9883,2,2,30,3,5,Entire home/apt,East Village,2250.00
4018423,Benjamin,40.79063734,-73.97187196,6,4,1,2,5,Private room,Upper West Side,2250.00
66711742,Jared,40.80959,-73.94377,4,5,30,8,5,Shared room,Harlem,2250.00
81582575,Welcome Rentals,40.7614447,-73.9745871,4,2,1,1,5,Entire home/apt,Midtown,2250.00
372162877,Hy,40.74547,-73.99369,2,,30,0,,Entire home/apt,Chelsea,2200.00
335941702,Molik,40.71536,-74.0072,8,3,30,0,,Entire home/apt,Tribeca,2200.00
517568992,Jing,40.76163,-73.99323,16,7,30,0,,Entire home/apt,Hell's Kitchen,2195.00
534647798,NYC Flats,40.75707558,-73.98153443,13,2,1,0,,Entire home/apt,Midtown,2170.00
475709628,Bruce,40.76473561,-73.97738301,4,1,30,0,,Private room,Midtown,2145.00
475709628,Bruce,40.76473561,-73.97738301,4,2,30,0,,Private room,Midtown,2145.00
475709628,Bruce,40.76473561,-73.97738301,4,2,30,0,,Private room,Midtown,2145.00
10416706,Tzvi,40.57601,-74.01072,16,42,30,13,4.77,Entire home/apt,Sea Gate,2136.00
501999278,RoomPicks,40.74397574,-73.98932273,12,6,1,0,,Private room,Midtown,2124.00
225144151,Sam,40.73955,-74.00476,16,,30,15,5,Entire home/apt,West Village,2100.00
212484716,Smyth Tribeca,40.75697,-73.96508,3,1,1,0,,Private room,Midtown,2071.00
380290574,Karen,40.77713,-73.95536,13,9,3,64,4.88,Entire home/apt,Upper East Side,2064.00
1028165,Yuichi,40.76691,-73.98361,16,1,30,2,5,Shared room,Hell's Kitchen,2000.00
15131644,Stefan,40.73884563,-73.98950669,16,1,30,0,,Entire home/apt,Gramercy,2000.00
836168,Henry,40.77482,-73.98606,8,3,30,9,4.89,Entire home/apt,Upper West Side,2000.00
45241930,Ben,40.74427,-73.97149,4,2,30,8,4.5,Entire home/apt,Murray Hill,2000.00
280484936,Carlos,40.78242,-73.97599,1,1,30,0,,Private room,Upper West Side,2000.00
